clean assemble for abi change on largeJavaMultiProject with local cache (parallel: true);864524;largeJavaMultiProject
clean assemble for non-abi change on largeJavaMultiProject with local cache (parallel: true);786656;largeJavaMultiProject
help on largeMonolithicJavaProject with lazy and eager tasks;145387;largeMonolithicJavaProject
help on largeJavaMultiProject with lazy and eager tasks;333192;largeJavaMultiProject
merge exclude rules;278494;excludeRuleMergingBuild
merge exclude rules (parallel);213906;excludeRuleMergingBuild
visiting zip trees;209079;archivePerformanceProject
visiting tar trees;171400;archivePerformanceProject
visiting gzip tar trees;178745;archivePerformanceProject
create many deprecation warnings;94543;generateLotsOfDeprecationWarnings
eclipse on largeMonolithicJavaProject;139330;largeMonolithicJavaProject
eclipse on largeJavaMultiProject;331947;largeJavaMultiProject
idea on largeMonolithicJavaProject;132180;largeMonolithicJavaProject
idea on largeJavaMultiProject;316859;largeJavaMultiProject
resolve large dependency graph from file repo;344126;excludeRuleMergingBuild
resolve large dependency graph (parallel = false);336946;excludeRuleMergingBuild
resolve large dependency graph (parallel = true);201263;excludeRuleMergingBuild
resolves dependencies from external repository;321439;springBootApp
resolves dependencies from external repository (parallel);263791;springBootApp
clean assemble on largeJavaMultiProject with rich console;678275;largeJavaMultiProject
clean assemble on largeMonolithicJavaProject with rich console;690897;largeMonolithicJavaProject
clean assemble on bigNative with rich console;168421;bigNative
cleanTest test on withVerboseJUnit with rich console;57794;withVerboseJUnit
cleanTest test on withVerboseTestNG with verbose test output;164728;withVerboseTestNG
cleanTest test on withVerboseJUnit with verbose test output;181292;withVerboseJUnit
create many tasks;120871;createLotsOfTasks
